BATTER,BATTER_ID
Ehire Adrianza,501303
Phillip Evans,595943
Noah Syndergaard,592789
Alex Gordon,460086
Travis D'Arnaud,518595
Matt Harvey,518774
Boog Powell,621471
Phil Gosselin,594838
Steven Brault,643230
Homer Bailey,456701
Chris Young,455759
Garrett Cooper,643265
Steven Matz,571927
Jose Lobaton,446653
Miles Mikolas,571945
Bruce Maxwell,622194
Yairo Munoz,622168
Jedd Gyorko,576397
Eddie Butler,572750
Efren Navarro,519068
Robbie Ray,592662
Jon Lester,452657
Rich Hill,448179
Joey Lucchesi,664192
Luke Weaver,596133
Tyson Ross,475115
Alex Blandino,607468
Sean Manaea,640455
Ty Blach,621389
Hyun-Jin Ryu,547943
Brandon Finnegan,605232
Chad Pinder,640461
Brent Suter,608718
Brian Johnson,598271
Carlos Martinez,593372
Brett Phillips,621433
Anibal Sanchez,434671
Gio Gonzalez,461829
Yu Darvish,506433
Mike Foltynewicz,592314
Scott Schebler,594988
Derek Holland,502706
Ryan Goins,572365
Jake Arrieta,453562
Odrisamer Despaigne,628333
Johnny Field,608654
JT Chargois,608638
Julio Teheran,527054
Nick Pivetta,601713
Paul Sewald,623149
Chad Kuhl,641771
Dillon Peters,596071
Shane Robinson,453203
Chris Stewart,455755
A.J. Cole,595918
Jhoulys Chacin,468504
Brandon McCarthy,435221
Ben Lively,594902
